Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Flubber,10-11-1997,Color,Comedy,English,USA,Parental Guidance,Robin Williams,Les Mayfield,49000,50005,10,0,5.2,53.0,90,92969824,80000000
G.I. Jane,18-04-1997,Color,Action,English,USA,Over 18,Viggo Mortensen,Ridley Scott,10000,15569,0,2000,5.8,97.0,125,48154732,50000000
Gattaca,20-06-1997,Color,Drama,English,USA,Teens,Blair Underwood,Andrew Niccol,685,1942,487,17000,7.8,175.0,106,12339633,36000000
George of the Jungle,10-02-1997,Color,Action,English,USA,Parental Guidance,Brendan Fraser,Sam Weisman,3000,4518,39,5000,5.4,53.0,92,105263257,55000000
Good Will Hunting,12-05-1997,Color,Drama,English,USA,Over 18,Robin Williams,Gus Van Sant,49000,63710,835,31000,8.3,161.0,126,138339411,10000000
Grosse Pointe Blank,10-07-1997,Color,Action,English,USA,Over 18,Minnie Driver,George Armitage,893,2044,5,0,7.4,111.0,107,28014536,15000000
Hav Plenty,02-06-1997,Color,Comedy,English,USA,Over 18,Hill Harper,Christopher Scott Cherot,465,714,21,161,6.5,25.0,84,2301777,650000
Hurricane Streets,14-04-1997,Black and White,Crime,English,USA,Over 18,Edie Falco,Morgan J. Freeman,659,2322,204,51,6.5,17.0,86,334041,500000
I Know What You Did Last Summer,10-12-1997,Color,Horror,English,USA,Over 18,Muse Watson,Jim Gillespie,45000,50284,13,0,5.6,140.0,99,72219395,17000000
I Married a Strange Person!,13-09-1997,Color,Animation,English,USA,Over 18,Charis Michelsen,Bill Plympton,5,7,45,178,7.0,19.0,75,203134,250000
In & Out,05-05-1997,Color,Comedy,English,USA,Teens,Tom Selleck,Frank Oz,19000,23504,0,0,6.3,83.0,90,63826569,35000000
In the Company of Men,18-01-1997,Color,Comedy,English,Canada,Over 18,Stacy Edwards,Neil LaBute,136,254,119,489,7.3,80.0,97,2856622,25000
Jackie Brown,13-11-1997,Color,Crime,English,USA,Over 18,Robert De Niro,Quentin Tarantino,22000,25522,16000,0,7.5,140.0,154,39647595,12000000
Kiss the Girls,02-07-1997,Color,Crime,English,USA,Over 18,Morgan Freeman,Gary Fleder,11000,14322,39,0,6.6,83.0,115,60491560,27000000
Kundun,27-12-1997,Color,Biography,English,USA,Teens,Tenzin Thuthob Tsarong,Martin Scorsese,2,4,17000,0,7.0,85.0,134,5532301,28000000
L.A. Confidential,16-02-1997,Color,Crime,English,USA,Over 18,Kevin Spacey,Curtis Hanson,18000,19129,161,11000,8.3,177.0,138,64604977,35000000
Liar Liar,20-09-1997,Color,Comedy,English,USA,Teens,Maura Tierney,Tom Shadyac,509,2070,293,0,6.8,73.0,86,181395380,45000000
Love Jones,16-02-1997,Color,Drama,English,USA,Over 18,Leonard Roberts,Theodore Witcher,962,3871,28,1000,7.4,16.0,104,12514138,10000000
Mad City,09-05-1997,Color,Crime,English,USA,Teens,Mia Kirshner,Costa-Gavras,972,2606,333,697,6.2,59.0,115,10556196,50000000
Men in Black,01-01-1997,Color,Adventure,English,USA,Teens,Will Smith,Barry Sonnenfeld,10000,12998,188,0,7.3,175.0,98,250147615,90000000
Midnight in the Garden of Good and Evil,01-04-1997,Color,Crime,English,USA,Over 18,Kevin Spacey,Clint Eastwood,18000,19689,16000,0,6.6,91.0,155,25078937,30000000
Money Talks,13-03-1997,Color,Action,English,USA,Over 18,Heather Locklear,Brett Ratner,695,2530,420,666,6.1,29.0,97,41067398,25000000
Mortal Kombat: Annihilation,20-01-1997,Color,Action,English,USA,Teens,Brian Thompson,John R. Leonetti,663,2266,40,1000,3.7,59.0,95,35927406,30000000
My Best Friend's Wedding,25-10-1997,Color,Comedy,English,USA,Teens,Julia Roberts,P.J. Hogan,8000,12344,29,0,6.3,84.0,105,126805112,46000000
Nothing to Lose,16-03-1997,Color,Action,English,USA,Over 18,Kelly Preston,Steve Oedekerk,742,2457,176,0,6.7,49.0,98,44455658,25000000
Orgazmo,07-11-1997,Color,Comedy,English,USA,Adult,Trey Parker,Trey Parker,406,904,406,0,6.2,59.0,92,582024,1000000
Oscar and Lucinda,18-02-1997,Color,Drama,English,USA,Over 18,Tom Wilkinson,Gillian Armstrong,1000,2004,44,329,6.7,28.0,132,1508689,16000000
Prefontaine,10-02-1997,Color,Biography,English,USA,Teens,Kurtwood Smith,Steve James,1000,1610,23,0,6.8,23.0,106,532190,8000000
Princess Mononoke,18-07-1997,Color,Adventure,Japanese,Japan,Teens,Minnie Driver,Hayao Miyazaki,893,2710,6000,11000,8.4,174.0,134,2298191,2400000000
Scream 2,10-08-1997,Color,Horror,English,USA,Over 18,Omar Epps,Wes Craven,865,2321,0,0,6.1,195.0,120,101334374,24000000
Selena,05-08-1997,Color,Biography,English,USA,Parental Guidance,Jon Seda,Gregory Nava,565,1735,16,0,6.7,37.0,127,35422828,20000000
Seven Years in Tibet,04-06-1997,Color,Adventure,English,USA,Teens,Brad Pitt,Jean-Jacques Annaud,11000,12226,218,0,7.0,76.0,136,37901509,70000000
Shadow Conspiracy,07-03-1997,Color,Action,English,USA,Over 18,Sam Waterston,George P. Cosmatos,849,2457,170,68,4.9,24.0,103,2154540,45000000
Shooting Fish,06-01-1997,Color,Comedy,English,UK,Parental Guidance,Peter McNamara,Stefan Schwartz,419,975,13,167,6.6,43.0,99,302204,3000000
Smilla's Sense of Snow,26-12-1997,Color,Action,English,Denmark,Over 18,Jim Broadbent,Bille August,1000,3125,55,561,6.4,50.0,121,2221994,35000000
Soul Food,26-09-1997,Color,Comedy,English,USA,Over 18,Vanessa Williams,George Tillman Jr.,1000,4737,88,508,6.9,34.0,115,43490057,7500000
Spawn,08-04-1997,Color,Action,English,USA,Over 18,Michael Jai White,Mark A.Z. DippÃ©,2000,7039,20,0,5.2,70.0,98,54967359,40000000
Speed 2: Cruise Control,28-10-1997,Color,Action,English,USA,Teens,Jason Patric,Jan de Bont,673,2027,101,894,3.7,79.0,121,48068396,160000000
Spice World,15-01-1997,Color,Comedy,English,UK,Parental Guidance,Jason Flemyng,Bob Spiers,1000,2176,14,0,3.3,33.0,93,29247405,25000000
Starship Troopers,03-01-1997,Color,Action,English,USA,Over 18,Jake Busey,Paul Verhoeven,660,2031,719,0,7.2,192.0,129,54700065,105000000
Steel,25-05-1997,Color,Action,English,USA,Teens,Charles Napier,Kenneth Johnson,503,3100,34,0,2.8,36.0,97,1686429,16000000
Switchback,29-07-1997,Color,Crime,English,USA,Over 18,Gregory Scott Cummins,Jeb Stuart,37,74,11,389,6.4,38.0,118,6482195,37000000
The Apostle,19-08-1997,Color,Drama,English,USA,Teens,John Beasley,Robert Duvall,205,428,3000,1000,7.2,95.0,134,20733485,5000000
The Borrowers,28-02-1997,Color,Adventure,English,UK,Parental Guidance,Jim Broadbent,Peter Hewitt,1000,2056,12,0,5.8,42.0,89,22359293,29000000
The Devil's Advocate,11-12-1997,Color,Drama,English,USA,Over 18,Keanu Reeves,Taylor Hackford,18000,45271,138,11000,7.5,117.0,136,60984028,57000000
The Devil's Own,19-04-1997,Color,Action,English,USA,Over 18,Harrison Ford,Alan J. Pakula,11000,26088,79,979,6.1,66.0,111,42877165,86000000
The Fifth Element,30-03-1997,Color,Action,English,France,Teens,Milla Jovovich,Luc Besson,14000,39319,0,18000,7.7,173.0,126,63540020,93000000
The Full Monty,24-06-1997,Color,Comedy,English,UK,Over 18,Tom Wilkinson,Peter Cattaneo,1000,2323,11,0,7.2,122.0,91,45857453,3500000
The Game,23-08-1997,Color,Drama,English,USA,Over 18,Deborah Kara Unger,David Fincher,495,1397,21000,25000,7.8,157.0,129,48265581,50000000
The Ice Storm,25-04-1997,Color,Drama,English,USA,Over 18,Joan Allen,Ang Lee,805,1466,0,0,7.5,124.0,112,7837632,18000000
The Jackal,06-09-1997,Color,Action,English,USA,Over 18,J.K. Simmons,Michael Caton-Jones,24000,38227,105,0,6.3,83.0,124,54910560,60000000
The Last Time I Committed Suicide,04-09-1997,Color,Biography,English,USA,Over 18,Keanu Reeves,Stephen Kay,18000,20135,19,161,5.8,12.0,92,12836,4000000
The Lost World: Jurassic Park,07-12-1997,Color,Action,English,USA,Teens,Ariana Richards,Steven Spielberg,610,1635,14000,0,6.5,177.0,129,229074524,73000000
The Man Who Knew Too Little,17-05-1997,Color,Action,English,USA,Parental Guidance,Bill Murray,Jon Amiel,13000,15183,36,0,6.6,34.0,94,13801755,20000000
The Peacemaker,10-02-1997,Color,Action,English,USA,Over 18,Armin Mueller-Stahl,Mimi Leder,294,1289,75,0,5.9,93.0,124,41256277,50000000
The Postman,28-08-1997,Color,Action,English,USA,Over 18,Olivia Williams,Kevin Costner,766,4346,0,0,6.0,79.0,177,17593391,80000000
The Rainmaker,22-01-1997,Color,Crime,English,USA,Teens,Matt Damon,Francis Ford Coppola,13000,16762,0,0,7.1,91.0,135,45856732,40000000
The Relic,12-10-1997,Color,Horror,English,UK,Over 18,John Kapelos,Peter Hyams,510,1976,0,956,5.7,95.0,110,33927476,40000000
The Saint,05-07-1997,Color,Action,English,USA,Teens,Alun Armstrong,Phillip Noyce,192,475,176,0,6.2,64.0,116,61355436,68000000
The Spanish Prisoner,08-12-1997,Color,Drama,English,USA,Parental Guidance,Ben Gazzara,David Mamet,623,1722,342,578,7.3,97.0,110,10200000,10000000
The Sweet Hereafter,17-06-1997,Color,Drama,English,Canada,Over 18,Bruce Greenwood,Atom Egoyan,990,2820,460,920,7.7,120.0,112,4306697,5000000
Titanic,11-03-1997,Color,Drama,English,USA,Teens,Leonardo DiCaprio,James Cameron,29000,45223,0,26000,7.7,315.0,194,658672302,200000000
Tomorrow Never Dies,01-02-1997,Color,Action,English,UK,Teens,Vincent Schiavelli,Roger Spottiswoode,811,2958,55,0,6.5,160.0,119,125332007,110000000
Trekkies,26-10-1997,Color,Documentary,English,USA,Parental Guidance,Walter Koenig,Roger Nygard,643,2864,3,672,7.0,43.0,86,617172,375000
Turbulence,21-01-1997,Color,Action,English,USA,Over 18,Hector Elizondo,Robert Butler,995,3952,0,316,4.7,44.0,100,11466088,71000000
Two Girls and a Guy,07-07-1997,Color,Comedy,English,USA,Over 18,Robert Downey Jr.,James Toback,21000,21124,56,387,5.6,54.0,84,1950218,1000000
Ulee's Gold,05-04-1997,Color,Drama,English,USA,Over 18,Peter Fonda,Victor Nunez,402,787,9,381,7.1,61.0,113,9054736,2700000
Volcano,02-10-1997,Color,Action,English,USA,Teens,Don Cheadle,Mick Jackson,3000,5062,81,2000,5.4,84.0,104,47474112,90000000
Wag the Dog,04-05-1997,Color,Comedy,English,USA,Over 18,Robert De Niro,Barry Levinson,22000,29252,272,12000,7.1,130.0,97,43022524,15000000
Warriors of Virtue,01-01-1997,Color,Action,English,USA,Parental Guidance,Marley Shelton,Ronny Yu,690,1993,31,0,4.6,24.0,101,6448817,35000000
20 Dates,28-06-1998,Color,Biography,English,USA,Over 18,Tia Carrere,Myles Berkowitz,1000,1362,0,30,5.3,32.0,87,536767,60000
54,13-11-1998,Color,Drama,English,USA,Over 18,Salma Hayek,Mark Christopher,4000,6910,15,0,5.8,63.0,121,16574731,13000000
A Bug's Life,22-11-1998,Color,Adventure,English,USA,General,Kevin Spacey,John Lasseter,18000,24205,487,0,7.2,117.0,95,162792677,120000000
A Civil Action,12-10-1998,Color,Drama,English,USA,Teens,Robert Duvall,Steven Zaillian,3000,4713,234,1000,6.5,110.0,115,56702901,60000000
A Night at the Roxbury,21-07-1998,Color,Comedy,English,USA,Teens,Will Ferrell,John Fortenberry,8000,9271,12,0,6.2,63.0,82,30324946,17000000
A Simple Plan,08-10-1998,Color,Crime,English,UK,Over 18,Gary Cole,Sam Raimi,989,2365,0,0,7.5,125.0,121,16311763,17000000
American History X,30-06-1998,Black and White,Crime,English,USA,Over 18,Ethan Suplee,Tony Kaye,1000,3858,194,35000,8.6,162.0,101,6712241,7500000
Among Giants,12-06-1998,Color,Comedy,English,UK,Over 18,Rachel Griffiths,Sam Miller,578,643,12,108,5.9,31.0,93,64359,2500000
Antz,08-09-1998,Color,Adventure,English,USA,Parental Guidance,Sylvester Stallone,Eric Darnell,13000,25788,35,0,6.6,131.0,83,90646554,105000000
Armageddon,22-02-1998,Color,Action,English,USA,Teens,Bruce Willis,Michael Bay,13000,26029,0,11000,6.6,167.0,153,201573391,140000000
Babe: Pig in the City,10-03-1998,Color,Adventure,English,Australia,General,Adam Goldberg,George Miller,1000,2521,750,964,5.8,61.0,97,18318000,80000000
Barney's Great Adventure,26-10-1998,Color,Adventure,English,Canada,General,Trevor Morgan,Steve Gomer,595,1139,9,436,2.8,24.0,76,11144518,15000000
Beloved,27-10-1998,Color,Drama,English,USA,Over 18,Oprah Winfrey,Jonathan Demme,852,2397,438,853,5.9,78.0,172,22843047,55000000
Blade,23-12-1998,Color,Action,English,USA,Over 18,Sanaa Lathan,Stephen Norrington,886,3174,45,0,7.1,184.0,110,70001065,45000000
Bride of Chucky,14-01-1998,Color,Comedy,English,Canada,Over 18,Alexis Arquette,Ronny Yu,285,667,31,0,5.3,114.0,89,32368960,25000000
Broken Vessels,09-01-1998,Color,Drama,English,USA,Over 18,William Smith,Scott Ziehl,919,2288,4,51,6.6,18.0,90,13493,600000
Buffalo '66,07-07-1998,Color,Comedy,English,USA,Over 18,Anjelica Huston,Vincent Gallo,1000,4762,787,0,7.5,106.0,110,2365931,1500000
Bulworth,24-03-1998,Color,Comedy,English,USA,Over 18,Warren Beatty,Warren Beatty,631,1023,631,0,6.8,110.0,108,26525834,30000000
Can't Hardly Wait,05-12-1998,Color,Comedy,English,USA,Teens,Ethan Embry,Harry Elfont,982,4259,4,0,6.5,76.0,100,25339117,10000000
Celebrity,08-11-1998,Black and White,Comedy,English,USA,Over 18,Melanie Griffith,Woody Allen,537,943,11000,652,6.3,114.0,113,5032496,12000000
Central Station,21-08-1998,Color,Drama,Portuguese,Brazil,Over 18,Fernanda Montenegro,Walter Salles,119,167,179,0,8.0,71.0,113,5595428,2900000
Chairman of the Board,27-06-1998,Color,Comedy,English,USA,Teens,Taylor Negron,Alex Zamm,1000,5213,43,724,2.3,12.0,95,306715,10000000
City of Angels,17-06-1998,Color,Drama,English,Germany,Teens,Nicolas Cage,Brad Silberling,12000,13905,52,0,6.7,110.0,114,78745923,55000000
Clay Pigeons,06-05-1998,Color,Comedy,English,Germany,Over 18,Janeane Garofalo,David Dobkin,1000,1795,71,515,6.6,49.0,104,1789892,8000000
Dark City,03-10-1998,Color,Action,English,Australia,Over 18,Rufus Sewell,Alex Proyas,3000,4696,295,14000,7.7,222.0,111,14337579,27000000
Dead Man on Campus,04-09-1998,Color,Comedy,English,USA,Over 18,Alyson Hannigan,Alan Cohn,3000,6861,0,645,6.0,37.0,96,15062898,14000000
Deep Impact,09-09-1998,Color,Action,English,USA,Teens,Morgan Freeman,Mimi Leder,11000,22750,75,0,6.1,125.0,120,140459099,75000000
Deep Rising,04-10-1998,Color,Action,English,USA,Over 18,Djimon Hounsou,Stephen Sommers,3000,6558,208,0,6.0,106.0,106,11146409,45000000
Desert Blue,03-07-1998,Color,Drama,English,USA,Over 18,Ethan Suplee,Morgan J. Freeman,1000,3207,204,69,6.2,31.0,90,99147,2000000
Dirty Work,25-05-1998,Color,Comedy,English,Canada,Teens,Don Rickles,Bob Saget,721,1805,799,679,6.4,32.0,82,9975684,13000000
Disturbing Behavior,22-11-1998,Color,Horror,English,Australia,Over 18,Bruce Greenwood,David Nutter,989,4660,119,673,5.5,96.0,84,17411331,15000000
Doctor Dolittle,15-06-1998,Color,Comedy,English,USA,Teens,Oliver Platt,Betty Thomas,1000,4166,84,694,5.3,73.0,85,144156464,71500000
Elizabeth,04-07-1998,Color,Biography,English,UK,Over 18,Fanny Ardant,Shekhar Kapur,288,1006,159,0,7.5,141.0,124,30012990,25000000
Enemy of the State,25-02-1998,Color,Action,English,USA,Over 18,Will Smith,Tony Scott,10000,11951,12000,0,7.3,81.0,140,111544445,90000000
Ever After: A Cinderella Story,14-02-1998,Color,Comedy,English,USA,Teens,Anjelica Huston,Andy Tennant,1000,2747,72,0,7.0,92.0,121,65703412,26000000
Fear and Loathing in Las Vegas,21-11-1998,Color,Adventure,English,USA,Over 18,Johnny Depp,Terry Gilliam,40000,43105,0,15000,7.7,156.0,118,10562387,18500000
Gods and Monsters,28-12-1998,Black and White,Biography,English,USA,Over 18,Brendan Fraser,Bill Condon,3000,4238,386,0,7.5,127.0,105,6390032,3500000
Half Baked,04-07-1998,Color,Comedy,English,USA,Over 18,Dave Chappelle,Tamra Davis,744,2400,33,0,6.7,40.0,82,17278980,8000000
Hard Rain,19-12-1998,Color,Action,English,USA,Over 18,Morgan Freeman,Mikael Salomon,11000,13628,13,815,5.8,79.0,97,19819494,70000000
He Got Game,16-09-1998,Color,Drama,English,USA,Over 18,Denzel Washington,Spike Lee,18000,37315,0,0,6.9,48.0,136,21554585,25000000
Holy Man,09-07-1998,Color,Comedy,English,USA,Parental Guidance,Kelly Preston,Stephen Herek,743,2367,65,296,4.9,56.0,114,12065985,60000000
Home Fries,20-10-1998,Color,Comedy,English,USA,Teens,Catherine O'Hara,Dean Parisot,925,2913,23,247,5.0,42.0,91,10443316,15000000
Hope Floats,25-08-1998,Color,Drama,English,USA,Teens,Bill Cobbs,Forest Whitaker,970,2860,0,0,5.9,65.0,114,60033780,30000000
How Stella Got Her Groove Back,16-07-1998,Color,Comedy,English,USA,Over 18,Richard Lawson,Kevin Rodney Sullivan,508,1660,8,0,5.5,29.0,124,37672350,20000000
I Got the Hook Up,12-03-1998,Color,Comedy,English,USA,Over 18,Joe Estevez,Michael Martin,625,987,0,280,3.9,19.0,93,10305534,3500000
I Still Know What You Did Last Summer,13-06-1998,Color,Horror,English,USA,Over 18,Muse Watson,Danny Cannon,45000,49847,41,891,4.6,125.0,100,39989008,24000000
Knock Off,14-03-1998,Color,Action,English,Aruba,Over 18,Paul Sorvino,Hark Tsui,635,1352,85,471,4.8,67.0,91,10076136,35000000
La otra conquista,15-04-1998,Color,Drama,Spanish,Mexico,Over 18,Elpidia Carrillo,Salvador Carrasco,174,222,22,140,6.8,39.0,106,886410,3500000
Lethal Weapon 4,11-07-1998,Color,Action,English,USA,Over 18,Jet Li,Richard Donner,5000,6171,503,0,6.6,141.0,127,129734803,140000000
Living Out Loud,06-01-1998,Color,Comedy,English,USA,Over 18,Holly Hunter,Richard LaGravenese,1000,3250,98,242,6.6,24.0,100,12902790,12000000
"Lock, Stock and Two Smoking Barrels",01-01-1998,Color,Comedy,English,UK,Over 18,Jason Statham,Guy Ritchie,26000,28294,0,21000,8.2,116.0,120,3650677,960000
Lost in Space,27-02-1998,Color,Action,English,USA,Teens,Gary Oldman,Stephen Hopkins,10000,12186,81,0,5.1,102.0,130,69102910,80000000
Meet Joe Black,29-07-1998,Color,Drama,English,USA,Teens,Anthony Hopkins,Martin Brest,12000,23950,102,10000,7.1,98.0,178,44606335,90000000
Meet the Deedles,08-05-1998,Color,Comedy,English,USA,Parental Guidance,Paul Walker,Steve Boyum,23000,24436,9,839,3.9,18.0,93,4308981,24000000
Mercury Rising,15-06-1998,Color,Action,English,USA,Over 18,Bruce Willis,Harold Becker,13000,16536,17,0,6.1,79.0,111,32940507,60000000
Mighty Joe Young,17-08-1998,Color,Action,English,USA,Parental Guidance,Charlize Theron,Ron Underwood,9000,10731,31,0,5.6,35.0,114,50628009,90000000
Mulan,14-02-1998,Color,Adventure,English,USA,General,Ming-Na Wen,Tony Bancroft,2000,4478,7,12000,7.5,143.0,88,120618403,90000000
Naturally Native,24-02-1998,Color,Drama,English,USA,Teens,Irene Bedard,Jennifer Wynne Farmer,752,1763,0,102,6.5,2.0,107,10508,700000
Next Stop Wonderland,17-09-1998,Color,Comedy,English,USA,Over 18,Philip Seymour Hoffman,Brad Anderson,22000,23461,122,392,6.7,38.0,104,3386698,1000000
One True Thing,10-05-1998,Color,Drama,English,USA,Over 18,Meryl Streep,Carl Franklin,11000,12785,73,592,7.0,64.0,127,23209440,30000000
Out of Sight,30-03-1998,Color,Crime,English,USA,Over 18,Don Cheadle,Steven Soderbergh,3000,3768,0,0,7.0,158.0,123,37339525,48000000
Patch Adams,08-01-1998,Color,Biography,English,USA,Teens,Robin Williams,Tom Shadyac,49000,74382,293,0,6.7,55.0,115,135014968,50000000
Pi,14-11-1998,Black and White,Drama,English,USA,Over 18,Mark Margolis,Darren Aronofsky,1000,2065,0,24000,7.5,138.0,84,3216970,60000
Practical Magic,30-09-1998,Color,Comedy,English,USA,Teens,Goran Visnjic,Griffin Dunne,1000,4294,165,0,6.1,92.0,104,46611204,48000000
Primary Colors,26-11-1998,Color,Comedy,English,France,Over 18,Maura Tierney,Mike Nichols,509,1409,0,688,6.7,117.0,143,38966057,65000000
Ronin,12-01-1998,Color,Action,English,UK,Over 18,Robert De Niro,John Frankenheimer,22000,24270,287,0,7.3,149.0,122,41609593,55000000
Rounders,19-09-1998,Color,Crime,English,USA,Over 18,Matt Damon,John Dahl,13000,14890,131,0,7.4,128.0,121,22905674,12000000
Run Lola Run,08-04-1998,Black and White,Crime,German,Germany,Over 18,Moritz Bleibtreu,Tom Tykwer,486,623,670,0,7.8,181.0,81,7267324,3500000
Rushmore,14-08-1998,Color,Comedy,English,USA,Over 18,Bill Murray,Wes Anderson,13000,15716,0,5000,7.7,179.0,93,17096053,9000000
Safe Men,08-08-1998,Color,Comedy,English,USA,Over 18,Harvey Fierstein,John Hamburg,499,1141,29,157,6.1,33.0,88,21210,1000000
Saving Private Ryan,05-12-1998,Color,Action,English,USA,Over 18,Tom Hanks,Steven Spielberg,15000,44998,14000,22000,8.6,219.0,169,216119491,70000000
Shakespeare in Love,10-09-1998,Color,Comedy,English,USA,Over 18,Tom Wilkinson,John Madden,1000,1690,108,0,7.2,134.0,123,100241322,25000000
Simon Birch,12-01-1998,Color,Comedy,English,USA,Parental Guidance,Oliver Platt,Mark Steven Johnson,1000,1816,160,0,6.9,60.0,114,18252684,30000000
Six Days Seven Nights,19-07-1998,Color,Action,English,USA,Teens,Harrison Ford,Ivan Reitman,11000,12729,425,0,5.7,97.0,98,74329966,70000000
Six-String Samurai,01-10-1998,Color,Action,English,USA,Teens,Jeffrey Falcon,Lance Mungia,33,36,4,0,6.7,51.0,91,124494,2000000
Slam,30-03-1998,Color,Drama,English,USA,Over 18,Sonja Sohn,Marc Levin,245,295,12,603,7.2,16.0,100,982214,1000000
Sliding Doors,26-04-1998,Color,Comedy,English,UK,Over 18,Jeanne Tripplehorn,Peter Howitt,711,1462,29,0,6.8,88.0,99,11883495,9000000
Slums of Beverly Hills,28-12-1998,Color,Comedy,English,USA,Over 18,Natasha Lyonne,Tamara Jenkins,1000,2691,84,462,6.6,60.0,91,5480318,5000000
Small Soldiers,07-03-1998,Color,Action,English,USA,Teens,Kirsten Dunst,Joe Dante,4000,8610,287,0,6.1,100.0,108,53955614,40000000
Smoke Signals,20-11-1998,Color,Comedy,English,Canada,Teens,Michael Greyeyes,Chris Eyre,912,3163,149,0,7.2,56.0,89,6719300,2000000
Snake Eyes,24-10-1998,Color,Crime,English,USA,Over 18,Nicolas Cage,Brian De Palma,12000,15269,0,880,5.9,117.0,98,55585389,69000000
Soldier,15-06-1998,Color,Action,English,UK,Over 18,Connie Nielsen,Paul W.S. Anderson,933,2542,545,0,6.0,67.0,99,14567883,75000000
Sphere,03-11-1998,Color,Drama,English,USA,Teens,Peter Coyote,Barry Levinson,548,1044,272,0,6.0,108.0,134,36976367,75000000
Star Trek: Insurrection,23-04-1998,Color,Action,English,USA,Parental Guidance,LeVar Burton,Jonathan Frakes,1000,6207,906,1000,6.4,160.0,103,70117571,58000000
Stepmom,06-08-1998,Color,Comedy,English,USA,Teens,Julia Roberts,Chris Columbus,8000,9988,0,0,6.7,65.0,124,91030827,50000000
Tango,22-04-1998,Color,Drama,Spanish,Spain,Teens,MÃ­a Maestro,Carlos Saura,341,371,98,539,7.2,35.0,115,1687311,700000000
The Big Hit,23-08-1998,Color,Action,English,USA,Over 18,Bokeem Woodbine,Kirk Wong,904,3353,6,934,6.1,57.0,91,27052167,13000000
The Big Lebowski,07-04-1998,Color,Comedy,English,USA,Over 18,Philip Seymour Hoffman,Joel Coen,22000,47728,0,35000,8.2,249.0,117,17439163,15000000
The Celebration,14-06-1998,Color,Drama,Danish,Denmark,Over 18,Ulrich Thomsen,Thomas Vinterberg,280,821,346,5000,8.1,98.0,105,1647780,1300000
The Faculty,20-04-1998,Color,Horror,English,USA,Over 18,Jordana Brewster,Robert Rodriguez,4000,12170,0,0,6.4,154.0,104,40064955,15000000
The Horse Whisperer,06-09-1998,Color,Drama,English,USA,Teens,Scarlett Johansson,Robert Redford,19000,20683,0,0,6.5,96.0,170,75370763,60000000
The Magic Sword: Quest for Camelot,26-12-1998,Color,Adventure,English,USA,General,Gary Oldman,Frederik Du Chau,10000,14275,7,0,6.2,34.0,86,22717758,40000000
The Man in the Iron Mask,14-04-1998,Color,Action,English,USA,Teens,Leonardo DiCaprio,Randall Wallace,29000,29265,130,0,6.4,83.0,132,56876365,35000000
The Mask of Zorro,10-07-1998,Color,Action,English,USA,Teens,Anthony Hopkins,Martin Campbell,12000,12396,258,0,6.7,156.0,136,93771072,65000000
The Negotiator,23-10-1998,Color,Action,English,Germany,Over 18,Kevin Spacey,F. Gary Gray,18000,20152,473,3000,7.3,68.0,140,44484065,50000000
The Newton Boys,20-02-1998,Color,Action,English,USA,Teens,Matthew McConaughey,Richard Linklater,11000,11969,0,315,6.0,63.0,123,10297897,27000000
The Object of My Affection,10-05-1998,Color,Comedy,English,USA,Over 18,Liam Aiken,Nicholas Hytner,818,1450,13,849,6.0,65.0,111,29106737,15000000
The Players Club,19-07-1998,Color,Comedy,English,USA,Over 18,Bernie Mac,Ice Cube,1000,2868,0,575,5.6,22.0,104,23031390,4500000
The Prince of Egypt,18-06-1998,Color,Adventure,English,USA,Parental Guidance,Martin Short,Brenda Chapman,770,1195,59,0,7.0,120.0,99,101217900,70000000
The Red Violin,26-05-1998,Color,Drama,French,Canada,Over 18,Johannes Silberschneider,FranÃ§ois Girard,24,29,63,0,7.7,94.0,130,9473382,10000000
The Replacement Killers,16-03-1998,Color,Action,English,USA,Over 18,Mira Sorvino,Antoine Fuqua,978,3072,845,629,6.1,105.0,96,18967571,30000000
The Rugrats Movie,17-12-1998,Color,Adventure,English,USA,General,Elizabeth Daily,Igor Kovalyov,971,3438,5,418,5.9,45.0,83,100491683,24000000
The Siege,29-12-1998,Color,Action,English,USA,Over 18,Denzel Washington,Edward Zwick,18000,32563,380,0,6.3,120.0,116,40932372,70000000
The Thin Red Line,01-01-1998,Color,Drama,English,USA,Over 18,Nick Stahl,Terrence Malick,648,1937,0,0,7.6,156.0,215,36385763,52000000
The Truman Show,05-05-1998,Color,Comedy,English,USA,Parental Guidance,Natascha McElhone,Peter Weir,2000,3698,608,18000,8.1,213.0,103,125603360,60000000
The Waterboy,23-05-1998,Black and White,Comedy,English,USA,Teens,Adam Sandler,Frank Coraci,11000,13823,153,0,6.1,108.0,90,161487252,20000000
The X Files,14-10-1998,Color,Drama,English,USA,Teens,Martin Landau,Rob Bowman,940,4230,38,0,7.0,142.0,121,83892374,66000000
There's Something About Mary,17-09-1998,Color,Comedy,English,USA,Over 18,Sarah Silverman,Bobby Farrelly,931,4664,101,0,7.1,171.0,107,176483808,23000000
Urban Legend,20-01-1998,Color,Horror,English,USA,Over 18,Alicia Witt,Jamie Blanks,975,3500,9,0,5.5,101.0,99,38048637,14000000
Vampires,05-01-1998,Color,Action,English,USA,Over 18,Sheryl Lee,John Carpenter,2000,5123,0,0,6.1,114.0,104,20241395,20000000
